name;seq;start;end;diff
TIGR00852;3;1479503123122;1479503148167;25045;<
TIGR00855;2;1479503148171;1479503148236;65;
TIGR00857;3;1479503148240;1479503163137;14897;<
TIGR00858;4;1479503163141;1479503207745;44604;<
<
TIGR00868;2;1479503207749;1479503207882;133;
TIGR00872;2;1479503207885;1479503207986;101;
TIGR00873;2;1479503207989;1479503208082;93;
TIGR00874;3;1479503208086;1479503218191;10105;<
TIGR00875;2;1479503218195;1479503218281;86;
TIGR00877;2;1479503218285;1479503218423;138;
TIGR00878;2;1479503218427;1479503218547;120;
TIGR00879;3;1479503218551;1479503249842;31291;<
TIGR00880;2;1479503249846;1479503249934;88;
TIGR00881;2;1479503249938;1479503250074;136;
TIGR00883;3;1479503250078;1479503271688;21610;<
TIGR00884;2;1479503271692;1479503271788;96;
TIGR00886;2;1479503271792;1479503271904;112;
TIGR00887;2;1479503271908;1479503272035;127;
TIGR00888;4;1479503272039;1479503340523;68484;<
<
TIGR00889;2;1479503340527;1479503340636;109;
TIGR00890;2;1479503340640;1479503340727;87;
TIGR00891;3;1479503340731;1479503358294;17563;<
TIGR00893;3;1479503358298;1479503383076;24778;<
TIGR00895;2;1479503383079;1479503383229;150;
TIGR00898;3;1479503383233;1479503410616;27383;<
TIGR00900;3;1479503410620;1479503433862;23242;<
TIGR00904;3;1479503433865;1479503446937;13072;<
TIGR00905;2;1479503446940;1479503447059;119;
TIGR00908;2;1479503447063;1479503447209;146;
TIGR00909;2;1479503447213;1479503447357;144;
TIGR00910;3;1479503447361;1479503463929;16568;<
TIGR00911;2;1479503463933;1479503464041;108;
TIGR00913;2;1479503464045;1479503464186;141;
TIGR00914;2;1479503464190;1479503464433;243;
TIGR00915;3;1479503464436;1479503506106;41670;<
TIGR00916;4;1479503506110;1479503609409;103299;<
<
TIGR00921;4;1479503609413;1479503655902;46489;<
<
TIGR00922;3;1479503655906;1479503669917;14011;<
TIGR00924;2;1479503669921;1479503670038;117;
TIGR00928;3;1479503670042;1479503685986;15944;<
TIGR00929;2;1479503685990;1479503686132;142;
TIGR00933;4;1479503686136;1479503776156;90020;<
<
TIGR00934;2;1479503776160;1479503776251;91;
TIGR00945;2;1479503776255;1479503776344;89;
TIGR00946;2;1479503776348;1479503776461;113;
TIGR00949;2;1479503776465;1479503776551;86;
TIGR00950;3;1479503776555;1479503789612;13057;<
TIGR00954;4;1479503789616;1479503877109;87493;<
<
TIGR00955;7;1479503877113;1479504774724;897611;<
<
<
<
<
TIGR00956;5;1479504774728;1479505041660;266932;<
<
<
TIGR00957;4;1479505041664;1479505147896;106232;<
<
TIGR00958;3;1479505147900;1479505173166;25266;<
TIGR00959;3;1479505173170;1479505204983;31813;<
TIGR00962;2;1479505204986;1479505205109;123;
TIGR00963;3;1479505205113;1479505227405;22292;<
TIGR00964;4;1479505227408;1479505261704;34296;<
<
TIGR00966;3;1479505261708;1479505275641;13933;<
TIGR00967;2;1479505275644;1479505275757;113;
TIGR00968;5;1479505275760;1479505626614;350854;<
<
3.092376258955483
TIGR00969;5;1479505626617;1479505843224;216607;<
<
<
TIGR00970;3;1479505843228;1479505860097;16869;<
TIGR00972;7;1479505860101;1479507296402;1436301;<
<
<
<
<
TIGR00973;3;1479507296406;1479507317937;21531;<
TIGR00974;3;1479507317941;1479507337357;19416;<
TIGR00977;2;1479507337360;1479507337496;136;
TIGR00978;2;1479507337500;1479507337597;97;
TIGR00979;3;1479507337601;1479507370756;33155;3.779470473173205
TIGR00981;2;1479507370759;1479507370816;57;
TIGR00987;2;1479507370820;1479507370887;67;
TIGR00988;2;1479507370891;1479507370949;58;
TIGR00996;2;1479507370952;1479507371062;110;
TIGR00998;4;1479507371065;1479507440034;68969;<
<
TIGR00999;4;1479507440038;1479507504060;64022;<
<
TIGR01001;2;1479507504064;1479507504162;98;
TIGR01003;2;1479507504166;1479507504229;63;
TIGR01005;2;1479507504233;1479507504367;134;
TIGR01006;2;1479507504370;1479507504449;79;
TIGR01007;3;1479507504453;1479507527810;23357;<
TIGR01008;3;1479507527813;1479507538162;10349;<
TIGR01009;3;1479507538166;1479507548511;10345;<
TIGR01011;2;1479507548515;1479507548624;109;
TIGR01016;2;1479507548627;1479507548741;114;
TIGR01017;3;1479507548745;1479507561702;12957;<
TIGR01024;3;1479507561706;1479507571100;9394;<
TIGR01025;2;1479507571104;1479507571166;62;
TIGR01026;4;1479507571170;1479507622200;51030;<
<
TIGR01027;2;1479507622204;1479507622329;125;
TIGR01032;2;1479507622333;1479507622394;61;
TIGR01033;2;1479507622398;1479507622506;108;
TIGR01034;2;1479507622510;1479507622635;125;
TIGR01036;2;1479507622639;1479507622745;106;
TIGR01037;2;1479507622749;1479507622863;114;
TIGR01038;2;1479507622867;1479507622932;65;
TIGR01039;5;1479507622936;1479507835317;212381;<
<
2.644019124049919
TIGR01040;3;1479507835321;1479507850606;15285;<
TIGR01041;3;1479507850609;1479507861413;10804;<
TIGR01042;3;1479507861417;1479507873813;12396;<
TIGR01043;4;1479507873817;1479507962661;88844;<
<
TIGR01044;2;1479507962665;1479507962741;76;
TIGR01048;3;1479507962745;1479507988028;25283;2.199691214187624
TIGR01050;2;1479507988032;1479507988096;64;
TIGR01051;3;1479507988100;1479508043078;54978;<
TIGR01052;2;1479508043083;1479508043193;110;
TIGR01054;3;1479508043197;1479508073081;29884;<
TIGR01055;2;1479508073085;1479508073236;151;
TIGR01056;3;1479508073240;1479508113365;40125;<
TIGR01057;3;1479508113369;1479508170765;57396;<
TIGR01058;2;1479508170769;1479508170922;153;
TIGR01059;2;1479508170925;1479508171079;154;
TIGR01060;2;1479508171083;1479508171172;89;
TIGR01061;3;1479508171176;1479508205380;34204;<
TIGR01062;3;1479508205384;1479508226636;21252;<
TIGR01063;3;1479508226640;1479508247738;21098;<
TIGR01064;3;1479508247742;1479508272039;24297;<
TIGR01065;2;1479508272043;1479508272132;89;
TIGR01066;3;1479508272136;1479508286567;14431;<
TIGR01067;2;1479508286571;1479508286642;71;
